GULL,LAPLLA.net,,,contact@laplla.net,,,,"La Couronne",
GULL,"Linux Challans",,,contact@linuxchallans.org,,,,Challans,
GULL,"Breathing Games",,,contact@breathinggames.net,,,,Annemasse,
GULL,GULLIVAR,,,contact@gullivar.org,,,,Brignoles,
GULL,"Linux Quimper",,,contact@linuxquimper.org,,,,Quimper,
GULL,"Maison du Libre",,,contact@mdl29.net,,,,Brest,
GULL,"K' Rément Libre",,,contact@krementlibre.org,,,,"La Roche-sur-Yon",
GULL,Oisux,,,contact@oisux.org,,,,Beauvais,
GULL,"Nevers Libre",,,contact@nevers-libre.org,,,,Nevers,
GULL,DOLinux,,,contact@dolelinux.wordpress.com,,,,Dole,
GULL,PLUG,,,contact@meetup.com/fr-FR/PostgreSQL-Lyon-User-Group/,,,,Lyon,
GULL,Landinux,,,contact@landinux.org,,,,Arboucaves,
GULL,Mirabellug,,,contact@mirabellug.org,,,,Nancy,
GULL,AXUL,,,contact@axul.org,,,,Aix-en-Provence,
GULL,EPSINUX,,,contact@epsi.fr/Laboratoire/EPSINUX-Le-laboratoire-du-logiciel-libre,,,,Arras,
GULL,Linux62,,,contact@linux62.org,,,,Boulogne-sur-Mer,
GULL,"Linux Ventoux",,,contact@linux-ventoux.org,,,,Bédoin,
GULL,LinuXMaine,,,contact@linuxmaine.org,,,,"Le Mans",
GULL,Antanak,,,contact@antanak.com,,,,Paris,
GULL,Rochelug,,,contact@rochelug.org,,,,Lagord,
GULL,RotomaLUG,,,contact@rotomalug.org,,,,Rouen,
GULL,Nanterrux,,,contact@nanterrux.org,,,,Nanterre,
GULL,Liness,,,contact@liness.org,,,,Évry,
GULL,Giroll,,,contact@giroll.org,,,,Bordeaux,
GULL,"Linux Azur",,,contact@linux-azur.org,,,,Antibes,
GULL,"Linux Ariège",,,contact@linux-ariege.eu.org,,,,Pamiers,
GULL,Rhizomes,,,contact@rhizomes.org,,,,Vannes,
GULL,Solix,,,contact@solix.info,,,,Romorantin-Lanthenay,
GULL,CLX,,,contact@asso.fr,,,,Lille,
GULL,Chtinux,,,contact@chtinux.org,,,,Lille,
GULL,ARU2L,,,contact@aru2l.org,,,,Onet-le-Château,
GULL,PauLLA,,,contact@paulla.asso.fr,,,,Pau,
GULL,Ledatux,,,contact@pari47.com/ledatux/,,,,Ledat,
GULL,LUG68,,,contact@lug68.org,,,,Murbach,
GULL,Mammoutux,,,contact@mammoutux.free.fr,,,,Rouffignac,
GULL,LOLIPOTOU,,,contact@lolipotou.org,,,,Bout,
GULL,"Club Lolut",,,contact@ae.utbm.fr/lolut/,,,,Belfort,
